studyid,lat,lon,region,ef_mean,ef_sd,log_ef,GEnZ,prec,temp,crop_cat,phtype,measmethod,sand,clay,soc,ph,bd,cec,irr,tillage,ndose,nsplitc,appc,n,fert_cat
1,40.53333,-3.283,EU,0.000648,0.00198395270355349,-7.341619861612,K,430,13.2,vegetable,water,unknown,55,28,0.82,7.6,1.41,247,yes,CT,125,1,incorporated,3,AN
1,40.53333,-3.283,EU,0.00042504,0.00140812091790346,-7.76332727582159,K,430,13.2,vegetable,water,unknown,55,28,0.82,7.6,1.41,247,yes,CT,125,1,incorporated,3,AN
1,40.53333,-3.283,EU,0.00143928,0.0040218554576278,-6.54361229043591,K,430,13.2,vegetable,water,unknown,55,28,0.82,7.6,1.41,247,yes,CT,125,1,incorporated,3,U
1,40.53333,-3.283,EU,0.00143304,0.00399776723662327,-6.54795721705743,K,430,13.2,vegetable,water,unknown,55,28,0.82,7.6,1.41,247,yes,CT,125,1,incorporated,3,U
2,40.53333,-3.283,EU,5e-05,0.000176270961192791,-9.90348755253613,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
2,40.53333,-3.283,EU,7e-04,0.00182418833524622,-7.26443022292087,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
2,40.53333,-3.283,EU,0.001,0.00263291540126409,-6.90775527898214,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
2,40.53333,-3.283,EU,3e-04,0.000905882987047897,-8.11172808330807,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,UC
2,40.53333,-3.283,EU,3e-04,0.000820650411436284,-8.11172808330807,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,UC
2,40.53333,-3.283,EU,0.00046,0.00120174230120742,-7.68428406848113,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,UC
2,40.53333,-3.283,EU,7e-04,0.00189795443928629,-7.26443022292087,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,O
2,40.53333,-3.283,EU,2e-04,0.000529686322075152,-8.51719319141624,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,O
2,40.53333,-3.283,EU,8e-04,0.00209226737276107,-7.13089883029635,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,1,broadcast,3,O
2,40.53333,-3.283,EU,7e-04,0.00186171241677036,-7.26443022292087,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,ASN
2,40.53333,-3.283,EU,8e-04,0.00216157536498783,-7.13089883029635,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,ASN
2,40.53333,-3.283,EU,0.00176,0.00457554371614665,-6.34244146993208,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,ASN
2,40.53333,-3.283,EU,0.00015,0.000536329428832657,-8.80487526386802,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
2,40.53333,-3.283,EU,0.0012,0.00319598639998394,-6.72543372218818,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
2,40.53333,-3.283,EU,0.00155,0.00409673526511985,-6.46950034805098,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,120,2,broadcast,3,UC
3,40.53333,-3.283,EU,0.00764,0.0226276720535131,-4.87435767580371,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,150,1,broadcast,3,U
3,40.53333,-3.283,EU,0.00446666666666667,0.0116367432933173,-5.41111286069338,K,430,13.2,cereal,water,unknown,55,28,0.82,7.6,1.41,247,no,CT,150,1,broadcast,3,U
4,52.856582,-6.918807,EU,0.00571428571428571,0.0185988403060288,-5.16478597392351,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,RT,70,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00357142857142857,0.00964377847328769,-5.63478960316925,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,CT,70,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00635714285714286,0.0182670679488809,-5.05817623886526,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,RT,140,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00557142857142857,0.0146369772797618,-5.1901037819078,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,CT,140,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00367088607594937,0.0147255881073551,-5.60732220846864,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,RT,79,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00291139240506329,0.0142970008377966,-5.83912382252596,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,CT,79,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00509433962264151,0.0155467391138869,-5.27962523353588,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,RT,159,1,broadcast,3,AN
4,52.856582,-6.918807,EU,0.00446540880503145,0.0145390529383798,-5.41139451116701,J,1083.85519192137,9.65402316259242,cereal,water,unknown,65,19,1.94,7.4,0.94,284,no,CT,159,1,broadcast,3,AN
5,52.856582,-6.918807,EU,0.00721428571428572,0.0638986810616832,-4.93169209175614,J,1083.85519192137,9.65402316259242,cereal,water,unknown,44.5,19,1.6,7,1.2,284,unknown,unknown,70,1,unknown,3,AN
5,52.856582,-6.918807,EU,0.00625,0.0376255226592291,-5.07517381523383,J,1083.85519192137,9.65402316259242,cereal,water,unknown,44.5,19,1.6,7,1.2,284,unknown,unknown,140,1,unknown,3,AN
5,52.856582,-6.918807,EU,0.00735,0.0343796571405727,-4.91305496575739,J,1083.85519192137,9.65402316259242,grass,water,unknown,44.5,19,4.41,7.3,0.94,284,unknown,unknown,200,1,unknown,3,AN
6,41.942874,-93.7555752,NAm,0.001816,0.014224030116966,-6.31111899880304,J,905.66897992019,10.0281611046829,fallow,water,unknown,32,32,4.9,8.2,1.43,253,unknown,unknown,125,1,broadcast,3,AS
6,41.942874,-93.7555752,NAm,0.00112,0.00756555464323325,-6.79442659367513,J,905.66897992019,10.0281611046829,fallow,water,unknown,32,32,4.9,8.2,1.43,253,unknown,unknown,250,1,broadcast,3,AS
